881-adulto-joven,0,1
881-adulto-joven,1,2
881-adulto-joven,2,4
881-adulto-joven,4,1
881-adulto-joven,6,1
881-adulto-joven,7,2
881-adulto-joven,9,2
881-adulto-joven,10,11
881-adulto-joven,11,6
881-adulto-joven,12,3
881-adulto-joven,14,2
881-adulto-joven,15,6
881-adulto-joven,16,2
881-adulto-joven,17,4
881-adulto-joven,18,2
881-adulto-joven,19,3
881-adulto-joven,20,6
881-adulto-joven,21,2
881-adulto-joven,22,1
881-adulto-joven,23,3
915-wuml-lowell,0,23
915-wuml-lowell,1,11
915-wuml-lowell,2,6
915-wuml-lowell,3,10
915-wuml-lowell,4,3
915-wuml-lowell,5,5
915-wuml-lowell,6,14
915-wuml-lowell,7,7
915-wuml-lowell,8,3
915-wuml-lowell,9,16
915-wuml-lowell,10,15
915-wuml-lowell,11,17
915-wuml-lowell,12,28
915-wuml-lowell,13,13
915-wuml-lowell,14,22
915-wuml-lowell,15,20
915-wuml-lowell,16,20
915-wuml-lowell,17,10
915-wuml-lowell,18,20
915-wuml-lowell,19,10
915-wuml-lowell,20,12
915-wuml-lowell,21,8
915-wuml-lowell,22,8
915-wuml-lowell,23,7
activa,0,854
activa,1,548
activa,2,305
activa,3,181
activa,4,157
activa,5,114
activa,6,105
activa,7,156
activa,8,211
activa,9,257
activa,10,321
activa,11,403
activa,12,339
activa,13,403
activa,14,433
activa,15,419
activa,16,465
activa,17,323
activa,18,336
activa,19,439
activa,20,506
activa,21,754
activa,22,1065
activa,23,1045
adn,0,5
adn,1,1
adn,5,1
adn,7,1
adn,10,1
adn,11,1
adn,12,3
advanta,0,89
advanta,1,53
advanta,2,34
advanta,3,18
advanta,4,9
advanta,5,9
advanta,6,18
advanta,7,17
advanta,8,32
advanta,9,40
advanta,10,77
advanta,11,73
advanta,12,65
advanta,13,169
advanta,14,193
advanta,15,212
advanta,16,211
advanta,17,123
advanta,18,110
advanta,19,83
advanta,20,127
advanta,21,115
advanta,22,137
advanta,23,106
ahijuna,0,1804
ahijuna,1,1104
ahijuna,2,591
ahijuna,3,348
ahijuna,4,271
ahijuna,5,225
ahijuna,6,366
ahijuna,7,574
ahijuna,8,881
ahijuna,9,1194
ahijuna,10,1444
ahijuna,11,1277
ahijuna,12,1317
ahijuna,13,1279
ahijuna,14,1462
ahijuna,15,1321
ahijuna,16,1395
ahijuna,17,1336
ahijuna,18,1277
ahijuna,19,1213
ahijuna,20,1255
ahijuna,21,1242
ahijuna,22,1459
ahijuna,23,2087
aire-de-sf,7,1
aire-de-sf,10,1
aire-de-sf,11,1
aire-de-sf,12,2
aire-de-sf,13,3
aire-de-sf,14,5
aire-de-sf,15,2
aire-de-sf,16,1
aire-de-sf,18,1
aire-de-sf,19,4
aire-de-sf,20,2
aire-de-sf,21,2
aire-de-sf,22,2
aire-de-sf,23,1
alas-sf,0,472
alas-sf,1,303
alas-sf,2,149
alas-sf,3,71
alas-sf,4,40
alas-sf,5,53
alas-sf,6,94
alas-sf,7,126
alas-sf,8,189
alas-sf,9,282
alas-sf,10,314
alas-sf,11,746
alas-sf,12,1749
alas-sf,13,2529
alas-sf,14,2072
alas-sf,15,1437
alas-sf,16,1046
alas-sf,17,920
alas-sf,18,862
alas-sf,19,735
alas-sf,20,662
alas-sf,21,587
alas-sf,22,712
alas-sf,23,604
am1010-onda-latina,0,1153
am1010-onda-latina,1,681
am1010-onda-latina,2,422
am1010-onda-latina,3,308
am1010-onda-latina,4,237
am1010-onda-latina,5,257
am1010-onda-latina,6,384
am1010-onda-latina,7,651
am1010-onda-latina,8,956
am1010-onda-latina,9,1283
am1010-onda-latina,10,2181
am1010-onda-latina,11,2023
am1010-onda-latina,12,1911
am1010-onda-latina,13,1890
