time,plays
2017-02-01 08:00:00-03,2
2017-02-01 09:00:00-03,1
2017-02-01 10:00:00-03,2
2017-02-01 11:00:00-03,2
2017-02-01 12:00:00-03,2
2017-02-01 14:00:00-03,1
2017-02-01 15:00:00-03,1
2017-02-01 16:00:00-03,1
2017-02-01 17:00:00-03,4
2017-02-01 18:00:00-03,1
2017-02-01 19:00:00-03,3
2017-02-01 20:00:00-03,1
2017-02-01 21:00:00-03,3
2017-02-02 00:00:00-03,2
2017-02-02 03:00:00-03,1
2017-02-02 09:00:00-03,2
2017-02-02 10:00:00-03,4
2017-02-02 11:00:00-03,3
2017-02-02 12:00:00-03,2
2017-02-02 14:00:00-03,1
2017-02-02 15:00:00-03,2
2017-02-02 16:00:00-03,2
2017-02-02 18:00:00-03,1
2017-02-02 19:00:00-03,1
2017-02-02 21:00:00-03,1
2017-02-02 22:00:00-03,1
2017-02-03 08:00:00-03,1
2017-02-03 09:00:00-03,1
2017-02-03 10:00:00-03,1
2017-02-03 12:00:00-03,1
2017-02-03 14:00:00-03,1
2017-02-03 15:00:00-03,1
2017-02-03 17:00:00-03,2
2017-02-03 18:00:00-03,1
2017-02-04 03:00:00-03,2
2017-02-04 08:00:00-03,1
2017-02-04 09:00:00-03,1
2017-02-04 10:00:00-03,2
2017-02-04 12:00:00-03,1
2017-02-04 14:00:00-03,1
2017-02-04 15:00:00-03,1
2017-02-04 16:00:00-03,1
2017-02-04 17:00:00-03,2
2017-02-04 18:00:00-03,4
2017-02-04 19:00:00-03,1
2017-02-04 20:00:00-03,1
2017-02-04 22:00:00-03,2
2017-02-04 23:00:00-03,2
2017-02-05 01:00:00-03,1
2017-02-05 06:00:00-03,1
2017-02-05 11:00:00-03,2
2017-02-05 12:00:00-03,1
2017-02-05 14:00:00-03,1
2017-02-05 15:00:00-03,1
2017-02-05 17:00:00-03,1
2017-02-05 18:00:00-03,1
2017-02-05 19:00:00-03,3
2017-02-05 20:00:00-03,2
2017-02-05 21:00:00-03,1
2017-02-05 22:00:00-03,2
2017-02-05 23:00:00-03,1
