0,0,65350
1,0,50636
2,0,36591
3,0,25695
4,0,19110
5,0,16365
6,0,17964
7,0,25197
8,0,39929
9,0,60487
10,0,77672
11,0,86541
12,0,88080
13,0,84198
14,0,79973
15,0,80127
16,0,80280
17,0,78252
18,0,79886
19,0,85982
20,0,83699
21,0,72426
22,0,71276
23,0,72431
0,1,59025
1,1,40354
2,1,24827
3,1,16955
4,1,13664
5,1,13479
6,1,18942
7,1,32662
8,1,56533
9,1,80015
10,1,129585
11,1,148992
12,1,158033
13,1,159405
14,1,163399
15,1,153702
16,1,147235
17,1,150176
18,1,142383
19,1,141355
20,1,137176
21,1,122565
22,1,123797
23,1,115016
0,2,95165
1,2,57108
2,2,33693
3,2,21119
4,2,18030
5,2,17307
6,2,26214
7,2,49068
8,2,84706
9,2,109331
10,2,126964
11,2,138719
12,2,144531
13,2,159270
14,2,183103
15,2,180666
16,2,166026
17,2,162193
18,2,151569
19,2,134205
20,2,129431
21,2,118110
22,2,117686
23,2,118106
0,3,92712
1,3,55840
2,3,30779
3,3,19864
4,3,16324
5,3,17096
6,3,26669
7,3,49050
8,3,80981
9,3,105845
10,3,128082
11,3,148553
12,3,162548
13,3,166396
14,3,176631
15,3,169454
16,3,158197
17,3,150742
18,3,140996
19,3,140330
20,3,133482
21,3,116998
22,3,116076
23,3,113566
0,4,88957
1,4,56193
2,4,33736
3,4,21597
4,4,18067
5,4,18368
6,4,26990
7,4,47629
8,4,78404
9,4,100376
10,4,118209
11,4,126831
12,4,136221
13,4,139442
14,4,150559
15,4,143690
16,4,218219
17,4,136661
18,4,132279
19,4,130050
20,4,127471
21,4,119821
22,4,116923
23,4,114883
0,5,89102
1,5,57934
2,5,33784
3,5,22591
4,5,18195
5,5,19166
6,5,27098
7,5,48448
8,5,76610
9,5,100501
10,5,122320
11,5,134991
12,5,149525
13,5,151135
14,5,156530
15,5,149597
16,5,144666
17,5,135007
18,5,128276
19,5,127219
20,5,121761
21,5,105934
22,5,104386
23,5,94308
0,6,79607
1,6,57038
2,6,37960
3,6,25029
4,6,18796
5,6,17037
6,6,21885
7,6,34341
8,6,54486
9,6,73113
10,6,87236
11,6,95256
12,6,104794
13,6,118887
14,6,119478
15,6,113608
16,6,107280
17,6,102578
18,6,103091
19,6,103477
20,6,99827
21,6,85747
22,6,74447
23,6,73415
